id_zone,id_quartier,nom_quartier,piece,epoque,meuble_txt,ref,max,min,annee,ville,code_grand_quartier,lat,lon
5,2,Halles,1,1946-1970,non meublé,28.0,33.6,19.6,2020,PARIS,7510102,48.8622891081,2.34489885831
13,78,Saint-Fargeau,1,Apres 1990,non meublé,23.1,27.72,16.17,2020,PARIS,7512078,48.8710347391,2.40617153015
10,42,Saint-Ambroise,4,Avant 1946,non meublé,20.6,24.72,14.42,2020,PARIS,7511142,48.8623450235,2.37611805592
5,52,Croulebarbe,3,1971-1990,non meublé,21.2,25.44,14.84,2020,PARIS,7511352,48.8337336761,2.34767304607
2,22,Odeon,3,Apres 1990,non meublé,24.5,29.4,17.15,2020,PARIS,7510622,48.8478006293,2.33633882759
11,71,Goutte-d'Or,3,Avant 1946,non meublé,23.0,27.6,16.1,2020,PARIS,7511871,48.8921381876,2.3555361633
2,5,Gaillon,3,Apres 1990,meublé,27.7,33.24,19.39,2020,PARIS,7510205,48.8693066381,2.33343180766
11,40,Hôpital-Saint-Louis,4,Apres 1990,meublé,21.9,26.28,15.33,2020,PARIS,7511040,48.87600829,2.36812301789
11,41,Folie-Méricourt,3,Apres 1990,non meublé,20.9,25.08,14.63,2020,PARIS,7511141,48.8674031901,2.37296482493
2,22,Odeon,3,1971-1990,meublé,25.2,30.24,17.64,2020,PARIS,7510622,48.8478006293,2.33633882759
5,36,Rochechouart,3,1946-1970,non meublé,20.3,24.36,14.21,2020,PARIS,7510936,48.8798119198,2.344861291
11,39,Porte-Saint-Martin,2,Apres 1990,non meublé,23.9,28.68,16.73,2020,PARIS,7511039,48.8712446509,2.36150364735
13,50,Gare,3,1946-1970,meublé,18.6,22.32,13.02,2020,PARIS,7511350,48.8275274578,2.37239773692
4,12,Sainte-Avoie,3,1971-1990,meublé,27.2,32.64,19.04,2020,PARIS,7510312,48.862557245,2.35485151825
10,49,Salpêtrière,1,1946-1970,non meublé,24.4,29.28,17.08,2020,PARIS,7511349,48.8374058852,2.36331863515
